conversion_id,click_id,campaign_id,customer_id,product_id,conversion_date,revenue
98,1032,45,2677,9,2026-05-18,469.68
99,1054,13,2107,9,2024-09-01,186.05
100,1077,45,2266,9,2026-04-25,107.29
101,1112,4,1939,3,2024-12-09,151.31
102,1131,53,693,10,2026-05-18,67.84
103,1169,20,1165,6,2025-04-24,147.34
104,1170,19,2623,1,2025-06-03,168.59
105,1198,50,1309,5,2025-03-30,777.58
106,1216,4,5231,3,2024-12-25,95.49
107,1225,11,3191,6,2024-09-18,56.39
108,1250,45,3579,9,2026-05-13,195.75
109,1255,17,3011,1,2024-12-21,194.36
110,1269,58,4093,6,2025-05-18,193.07
111,1275,52,2781,6,2025-03-18,171.66
112,1279,10,1483,3,2026-01-14,97.75
113,1283,42,3162,3,2025-01-08,58.35
114,1302,39,1875,7,2024-11-29,72.51
115,1304,56,1159,1,2024-12-28,89.15
116,1308,56,584,1,2024-12-20,106.22
117,1309,10,1513,3,2025-12-30,50.15
118,1331,17,4494,1,2025-01-06,151.34
119,1338,4,5195,3,2025-01-24,112.57
120,1354,45,3765,9,2026-04-13,492.35
121,1374,28,4192,8,2025-05-06,543.77
122,1376,35,5792,10,2025-05-18,144.65
123,1384,56,5436,1,2024-12-23,54.82
124,1387,37,490,10,2025-01-12,91.33
125,1422,5,517,2,2024-11-06,191.79
126,1447,39,343,7,2024-12-14,103.44
127,1459,23,4569,10,2026-01-18,143.57
128,1466,29,3058,7,2025-05-14,103.61
129,1467,23,2630,10,2025-12-31,90.55
130,1475,27,5294,8,2024-11-04,1296.62
131,1502,41,4366,9,2026-02-04,488.53
132,1516,60,2980,5,2025-04-21,708.94
133,1530,49,293,4,2025-10-07,195.46
134,1540,22,1340,7,2024-10-13,53.98
135,1545,39,2987,7,2024-12-07,59.33
136,1573,51,3468,3,2025-09-16,155.87
137,1574,52,2283,6,2025-04-04,99.49
138,1576,60,2320,5,2025-04-16,485.91
139,1582,58,2981,6,2025-05-29,81.58
140,1592,37,1727,10,2025-01-18,189.92
141,1609,44,4499,9,2025-01-07,164.16
142,1634,15,5734,7,2026-04-28,60.98
143,1635,34,1577,8,2025-07-02,454.14
144,1641,22,1083,7,2024-10-09,99.89
145,1643,35,5109,10,2025-06-02,78.08
146,1646,14,870,6,2024-12-08,110.63
147,1659,50,3743,5,2025-05-01,595.62
148,1675,14,4505,6,2024-12-09,117.61
149,1682,26,5314,4,2025-10-27,125.19
150,1684,27,5043,8,2024-10-27,484.7
151,1696,13,3647,9,2024-09-07,358.53
152,1728,11,5922,6,2024-08-30,180.96
153,1763,34,70,8,2025-06-26,1470.68
154,1783,1,5392,8,2025-04-22,1468.35
155,1788,34,1774,8,2025-06-27,1111.5
156,1793,38,622,5,2025-11-16,665.11
157,1814,37,4717,10,2025-01-19,177.89
158,1817,60,225,5,2025-05-01,443.08
159,1840,10,3307,3,2026-01-06,165.13
160,1851,24,2058,9,2025-10-09,415.29
161,1860,57,2057,3,2024-10-19,197.81
162,1868,21,1554,4,2026-01-16,50.38
163,1876,53,1126,10,2026-05-11,150.42
164,1916,36,5428,10,2025-05-02,67.57
165,1922,10,5461,3,2026-01-07,128.32
166,1926,8,4167,10,2025-08-01,166.66
167,1928,53,4429,10,2026-05-08,57.81
168,1959,47,3351,4,2024-11-02,142.1
169,1978,6,4663,2,2025-01-20,137.35
170,1986,59,3258,7,2026-05-07,94.47
171,1990,34,628,8,2025-06-18,747.94
172,1991,29,225,7,2025-06-03,111.41
173,1995,35,3823,10,2025-06-06,192.75
174,2002,58,541,6,2025-05-30,179.52
175,2010,6,3938,2,2025-01-25,92.27
176,2012,48,2677,10,2026-02-09,64.78
177,2017,45,1975,9,2026-04-26,587.64
178,2030,41,4056,9,2026-02-05,218.91
179,2039,27,5335,8,2024-11-01,872.85
180,2042,12,4025,5,2024-08-03,696.27
181,2062,48,4582,10,2026-02-16,171.08
182,2067,15,4453,7,2026-04-23,86.84
183,2068,4,2428,3,2024-12-04,75.48
184,2091,5,372,2,2024-11-13,96.93
185,2119,39,5223,7,2024-12-12,105.05
186,2122,34,4450,8,2025-06-24,1483.29
187,2128,31,491,6,2025-01-27,57.52
188,2134,6,3661,2,2025-03-06,66.71
189,2135,20,2605,6,2025-05-06,181.3
190,2145,9,2432,3,2024-09-04,150.5
191,2179,60,1343,5,2025-04-22,532.68
192,2181,24,1501,9,2025-10-10,557.1
193,2186,30,1953,10,2024-11-18,184.5
194,2199,44,3200,9,2025-01-06,586.79
195,2210,18,5500,6,2025-04-27,176.91
196,2211,6,4387,2,2025-02-08,172.42
197,2218,42,4075,3,2024-12-30,192.72
198,2222,32,5837,9,2024-10-31,158.75
199,2225,54,1240,5,2025-09-12,642.55
200,2232,27,1567,8,2024-10-30,1332.54
201,2233,59,3998,7,2026-04-30,33.21
202,2236,51,2148,3,2025-09-11,131.64
203,2248,55,2205,7,2025-07-14,65.59
204,2252,36,5922,10,2025-04-06,68.73
205,2304,48,5431,10,2026-02-06,109.13
206,2307,3,5641,4,2025-12-17,79.19
207,2322,40,792,6,2026-03-02,77.04
208,2348,53,5581,10,2026-05-09,198.13
209,2361,46,5727,8,2025-02-02,301.33
210,2375,45,332,9,2026-05-10,441.82
211,2384,16,3669,2,2025-01-20,151.63
212,2404,4,4312,3,2024-12-08,76.53
213,2407,36,1015,10,2025-03-19,97.19
214,2415,41,1743,9,2026-02-01,215.6
215,2423,29,2643,7,2025-05-21,39.28
216,2430,43,2833,5,2026-01-18,840.52
217,2433,9,4486,3,2024-09-07,199.02
218,2452,22,1836,7,2024-10-31,86.79
219,2488,60,3057,5,2025-04-19,313.48
220,2490,16,62,2,2025-01-18,70.98
221,2498,46,1376,8,2025-01-24,514.73
222,2509,7,73,7,2026-05-31,38.36
223,2520,45,5998,9,2026-05-30,598.69
224,2522,30,2584,10,2024-11-17,171.12
225,2547,15,1581,7,2026-05-09,82.11
226,2590,27,4507,8,2024-10-27,1189.02
227,2592,54,5034,5,2025-09-19,875.1
228,2601,44,1568,9,2024-12-29,323.83
229,2617,14,3103,6,2024-11-22,114.1
230,2624,47,3346,4,2024-10-22,119.81
231,2627,17,3371,1,2024-12-13,157.24
232,2631,8,1928,10,2025-08-09,54.0
233,2633,5,2362,2,2024-11-02,141.12
234,2642,22,4797,7,2024-10-30,105.51
235,2644,54,1815,5,2025-09-23,358.1
236,2653,29,3908,7,2025-04-07,46.21
237,2670,7,4887,7,2026-05-22,48.36
238,2674,54,1483,5,2025-09-22,254.57
239,2699,29,1129,7,2025-04-16,59.23
240,2727,57,4929,3,2024-10-11,190.04
241,2738,23,1724,10,2026-01-10,162.37
242,2751,53,1793,10,2026-05-19,106.19
243,2763,20,5427,6,2025-05-22,140.07
244,2766,9,2823,3,2024-09-12,50.02
245,2768,9,3116,3,2024-08-31,68.62
246,2774,20,5978,6,2025-04-26,61.59
247,2836,25,1901,9,2024-11-17,340.97
248,2843,29,2425,7,2025-05-12,57.48
249,2855,33,4943,5,2026-03-23,859.24
250,2858,42,5595,3,2024-12-16,182.79
251,2869,3,3371,4,2025-12-06,179.07
252,2872,8,4160,10,2025-08-12,128.92
253,2878,44,2883,9,2025-01-15,353.12
254,2896,16,4630,2,2025-02-16,165.97
255,2932,49,3660,4,2025-09-11,55.72
256,2955,16,3335,2,2025-03-07,187.99
257,2958,33,3960,5,2026-02-09,748.33
258,2960,47,1479,4,2024-11-08,129.65
259,2965,20,2303,6,2025-04-25,191.63
260,2973,53,2169,10,2026-05-15,163.6
261,2980,21,3965,4,2026-01-17,186.4
262,2990,38,986,5,2025-11-24,633.83
263,2996,56,4628,1,2024-12-24,190.03
264,2998,43,3516,5,2026-01-18,361.78
265,3002,9,2315,3,2024-09-10,163.92
266,3018,15,4655,7,2026-05-13,102.77
267,3021,34,2409,8,2025-06-22,578.42
268,3026,11,4121,6,2024-08-26,81.36
269,3033,53,1953,10,2026-05-18,55.57
270,3038,19,2283,1,2025-05-03,129.17
271,3043,3,1012,4,2025-12-11,97.76
272,3047,11,2643,6,2024-09-21,163.86
273,3050,33,925,5,2026-01-31,405.91
274,3053,55,1571,7,2025-07-19,40.74
275,3057,25,5836,9,2024-12-14,470.89
276,3067,27,968,8,2024-11-01,698.17
277,3078,36,1020,10,2025-04-20,184.87
278,3080,29,5734,7,2025-05-28,76.77
279,3082,15,1222,7,2026-05-17,37.48
280,3084,35,5326,10,2025-05-18,146.45
281,3107,25,5826,9,2024-12-16,537.44
282,3118,8,3399,10,2025-07-18,193.48
283,3119,45,552,9,2026-05-28,556.2
284,3123,4,5272,3,2024-12-01,75.05
285,3139,41,379,9,2026-02-21,380.73
286,3162,11,953,6,2024-09-25,66.5
287,3163,56,2990,1,2024-12-16,150.78
288,3171,59,5195,7,2026-04-22,99.06
289,3176,32,3738,9,2024-11-09,136.76
290,3196,21,194,4,2026-01-16,57.32
291,3203,57,3537,3,2024-11-12,93.58
292,3243,51,1361,3,2025-08-29,96.81
293,3248,25,3046,9,2024-12-09,224.61
294,3258,1,2905,8,2025-04-17,1457.98
295,3267,28,3638,8,2025-04-14,983.17
296,3270,44,5140,9,2024-12-28,592.87
297,3280,25,510,9,2024-12-26,442.37
298,3285,2,5419,10,2024-11-26,187.46
299,3287,28,2210,8,2025-05-08,494.14
300,3290,22,4286,7,2024-10-19,47.82
301,3293,60,5749,5,2025-05-01,627.78
302,3296,15,5180,7,2026-05-17,92.07
303,3297,24,4184,9,2025-11-10,367.76
304,3317,45,5386,9,2026-04-14,298.57
305,3323,18,3835,6,2025-04-25,197.75
306,3324,50,3561,5,2025-04-13,566.87
307,3334,2,4515,10,2024-11-02,92.2
308,3336,35,248,10,2025-05-26,167.53
309,3351,15,3140,7,2026-05-24,100.98
310,3388,27,1780,8,2024-10-27,372.03
311,3392,51,121,3,2025-09-24,127.7
312,3404,49,3896,4,2025-09-03,135.29
313,3424,56,3602,1,2024-12-22,193.36
314,3433,34,3193,8,2025-06-18,922.22
315,3446,10,3706,3,2025-11-26,52.8
316,3447,54,924,5,2025-09-18,547.42
317,3454,19,3496,1,2025-04-18,51.38
318,3455,38,3930,5,2025-11-19,736.61
319,3456,54,1210,5,2025-09-18,641.78
320,3460,17,2082,1,2024-12-11,68.17
321,3465,17,773,1,2025-01-01,143.18
322,3489,3,3270,4,2025-12-19,170.56
323,3496,11,1944,6,2024-08-22,141.59
324,3503,58,2095,6,2025-05-03,55.84
325,3536,49,1780,4,2025-10-01,177.48
326,3541,50,1968,5,2025-03-27,768.95
327,3557,32,5810,9,2024-10-10,255.4
328,3576,9,4750,3,2024-09-12,199.98
329,3584,39,3485,7,2024-12-03,112.48
330,3595,20,3291,6,2025-05-08,137.09
331,3596,53,5587,10,2026-05-25,126.92
332,3627,10,3680,3,2026-01-05,98.22
333,3633,41,5425,9,2026-02-05,115.9
334,3643,37,1317,10,2025-01-27,89.32
335,3660,46,1547,8,2024-12-31,1024.23
336,3700,5,810,2,2024-11-10,194.48
337,3722,52,554,6,2025-03-11,150.9
338,3744,40,718,6,2026-03-03,175.71
339,3748,22,2892,7,2024-10-27,106.58
340,3764,47,1630,4,2024-10-18,90.85
341,3767,14,5493,6,2024-12-14,121.64
342,3774,46,2037,8,2025-01-28,667.85
343,3802,45,3144,9,2026-04-16,402.6
344,3811,54,1925,5,2025-09-26,695.55
345,3826,17,5663,1,2024-12-13,70.58
346,3831,23,3997,10,2026-01-14,71.0
347,3847,13,4045,9,2024-09-13,168.38
348,3857,1,4047,8,2025-04-29,718.24
349,3859,47,5069,4,2024-10-26,169.15
350,3887,6,2400,2,2025-02-15,75.77
351,3888,17,1756,1,2024-12-02,142.68
352,3898,43,3043,5,2026-01-18,452.66
353,3929,17,5525,1,2024-12-05,85.96
354,3956,54,1676,5,2025-09-23,374.7
355,3960,10,2565,3,2026-01-21,84.41
356,3966,31,3164,6,2025-01-23,193.84
357,3969,46,2538,8,2025-01-20,868.77
358,3981,48,1391,10,2026-01-29,75.15
359,3984,56,3511,1,2024-12-12,99.37
360,3993,24,5773,9,2025-10-17,306.75
361,4003,17,2233,1,2024-12-11,171.4
362,4018,18,274,6,2025-03-29,62.19
363,4026,20,5223,6,2025-05-16,148.76
364,4049,21,1364,4,2026-01-19,166.36
365,4050,12,1233,5,2024-08-08,341.29
366,4060,38,123,5,2025-11-14,741.58
367,4072,6,5762,2,2025-02-02,63.93
368,4085,28,579,8,2025-05-11,1052.15
369,4112,29,4247,7,2025-05-08,55.81
370,4114,56,3266,1,2024-12-20,170.76
371,4119,14,3467,6,2024-12-09,95.28
372,4122,12,4563,5,2024-07-27,533.82
373,4124,7,1514,7,2026-05-21,78.8
374,4127,30,3294,10,2024-11-23,117.0
375,4135,60,4916,5,2025-05-01,606.49
376,4153,19,934,1,2025-05-27,99.3
377,4172,19,5488,1,2025-04-23,106.61
378,4207,10,3859,3,2026-01-26,79.98
379,4210,57,2181,3,2024-10-14,190.39
380,4223,28,4316,8,2025-05-16,1483.65
381,4244,17,5125,1,2024-12-11,110.88
382,4250,25,2947,9,2024-12-31,492.98
383,4263,9,433,3,2024-09-07,59.85
384,4264,10,1743,3,2025-12-16,130.63
385,4265,19,4987,1,2025-05-26,98.99
386,4275,27,1472,8,2024-10-28,1179.85
387,4286,5,1361,2,2024-11-03,135.49
388,4291,36,3072,10,2025-03-20,187.32
389,4309,7,1554,7,2026-06-06,61.53
390,4313,45,5684,9,2026-05-27,566.76
391,4344,30,4352,10,2024-11-26,120.92
392,4346,56,925,1,2024-12-21,70.27
393,4349,30,1938,10,2024-11-29,94.75
394,4357,48,3486,10,2026-02-02,167.75
395,4365,57,187,3,2024-10-19,145.83
396,4376,12,2258,5,2024-07-27,696.71
397,4385,1,3697,8,2025-03-28,1238.33
398,4388,19,3608,1,2025-05-19,91.69
399,4403,35,1543,10,2025-06-08,113.84
400,4419,29,3586,7,2025-04-19,108.54
401,4426,29,2363,7,2025-04-15,37.49
402,4446,3,2068,4,2025-12-11,74.55
403,4455,47,1433,4,2024-11-14,169.11
404,4463,20,4521,6,2025-04-24,118.69
405,4497,19,2946,1,2025-05-21,181.35
406,4522,41,1065,9,2026-02-04,492.19
407,4549,10,3590,3,2025-12-13,134.3
408,4572,49,4882,4,2025-09-03,141.68
409,4574,6,516,2,2025-01-29,161.58
410,4576,58,2357,6,2025-05-27,155.31
411,4581,51,3612,3,2025-09-07,153.39
412,4585,52,78,6,2025-02-27,192.41
413,4594,59,439,7,2026-05-01,65.26
414,4603,28,516,8,2025-05-09,995.37
415,4610,8,5413,10,2025-08-09,76.0
416,4622,37,1589,10,2025-01-05,51.89
417,4643,9,1016,3,2024-09-14,162.91
418,4658,32,4884,9,2024-10-13,510.22
419,4698,5,85,2,2024-11-14,184.36
420,4700,54,5441,5,2025-09-12,540.74
421,4706,39,407,7,2024-12-01,100.83
422,4720,14,1264,6,2024-11-30,197.45
423,4749,15,1135,7,2026-05-29,74.04
424,4754,35,3728,10,2025-06-06,163.45
425,4762,45,715,9,2026-04-13,236.96
426,4769,10,4755,3,2026-01-20,148.07
427,4775,29,5539,7,2025-05-19,117.95
428,4783,9,301,3,2024-09-06,131.83
429,4794,16,3673,2,2025-03-01,180.47
430,4796,55,2415,7,2025-08-19,96.35
431,4818,15,3043,7,2026-05-10,116.43
432,4832,56,3221,1,2024-12-20,66.03
433,4861,39,356,7,2024-12-27,94.28
434,4865,22,1249,7,2024-10-22,35.69
435,4876,3,2439,4,2025-12-14,196.8
436,4884,46,3635,8,2024-12-30,1275.21
437,4916,53,3226,10,2026-05-10,88.47
438,4930,6,1685,2,2025-03-14,136.76
439,4956,31,1784,6,2025-01-26,146.39
440,4970,25,1374,9,2024-11-18,224.21
441,5002,55,5273,7,2025-07-28,34.31
442,5011,10,2653,3,2025-12-04,171.53
443,5025,59,2968,7,2026-05-06,79.45
444,5034,40,3149,6,2026-03-05,97.01
445,5080,38,2655,5,2025-11-16,229.54
446,5082,48,2364,10,2026-02-05,123.32
447,5083,45,5088,9,2026-04-19,326.02
448,5101,57,3266,3,2024-10-24,163.21
449,5103,47,3997,4,2024-10-26,60.73
450,5107,39,1636,7,2024-12-24,78.53
451,5120,53,5424,10,2026-05-12,174.55
452,5131,51,1943,3,2025-08-28,142.57
453,5142,1,4431,8,2025-04-24,1341.07
454,5145,11,1705,6,2024-08-31,61.48
455,5155,56,5252,1,2024-12-14,132.3
456,5156,14,3799,6,2024-12-02,138.09
457,5166,13,3960,9,2024-09-14,353.11
458,5175,46,4794,8,2025-02-04,432.44
459,5185,39,442,7,2024-12-02,65.82
460,5213,36,5728,10,2025-03-18,51.48
461,5232,52,2926,6,2025-04-05,91.67
462,5239,9,3066,3,2024-09-12,156.03
463,5247,41,2874,9,2026-01-25,240.13
464,5250,24,3667,9,2025-10-20,309.47
465,5251,29,5344,7,2025-05-16,44.92
466,5252,54,673,5,2025-09-20,442.98
467,5258,23,11,10,2026-01-04,60.37
468,5259,37,3098,10,2025-01-26,188.19
469,5260,2,5007,10,2024-11-12,175.22
470,5261,58,3375,6,2025-05-19,153.94
471,5262,14,3140,6,2024-12-05,87.12
472,5277,35,2952,10,2025-05-29,113.27
473,5297,55,1430,7,2025-08-06,95.18
474,5312,52,4672,6,2025-03-30,62.57
475,5322,28,1378,8,2025-04-15,304.17
476,5328,25,2939,9,2025-01-05,586.34
477,5343,35,3737,10,2025-05-16,95.06
478,5344,8,3203,10,2025-07-20,171.39
479,5358,27,3252,8,2024-10-24,537.08
480,5365,51,2919,3,2025-10-09,151.64
481,5366,36,3803,10,2025-04-06,95.35
482,5369,29,3090,7,2025-04-22,66.8
483,5377,50,1012,5,2025-03-21,688.55
484,5388,60,5629,5,2025-04-12,276.3
485,5420,20,880,6,2025-05-25,74.06
486,5424,7,5255,7,2026-05-28,55.02
487,5463,7,5760,7,2026-06-01,75.38
488,5480,50,4401,5,2025-04-02,810.47
489,5482,37,3475,10,2025-01-10,91.62
490,5483,12,3897,5,2024-07-27,347.27
491,5493,46,2958,8,2025-02-02,556.06
492,5494,42,2395,3,2025-01-19,149.43
493,5522,45,3496,9,2026-05-03,183.15
494,5539,10,3727,3,2025-12-23,102.27
495,5553,19,1851,1,2025-04-21,104.16
496,5558,44,1357,9,2025-01-04,393.04
497,5561,18,4051,6,2025-04-21,151.12
498,5562,41,2180,9,2026-02-07,260.91
499,5568,51,4877,3,2025-10-04,141.19
500,5575,6,2064,2,2025-01-26,139.4
501,5577,42,4160,3,2024-11-29,170.77
502,5580,4,5321,3,2025-01-01,80.53
503,5616,14,5449,6,2024-11-23,100.99
504,5619,47,3793,4,2024-10-06,143.51
505,5625,50,1554,5,2025-04-11,331.75
506,5630,41,2676,9,2026-01-31,484.54
507,5635,52,740,6,2025-04-03,174.65
508,5636,25,3891,9,2024-12-28,143.08
509,5640,46,46,8,2024-12-30,1467.87
510,5647,60,1083,5,2025-04-15,744.1
511,5667,17,5630,1,2025-01-06,84.27
512,5678,5,855,2,2024-10-31,80.91
513,5750,25,2676,9,2024-12-23,320.95
514,5755,24,2023,9,2025-11-19,578.45
515,5757,1,5495,8,2025-04-22,755.75
516,5769,33,4016,5,2026-03-08,831.45
517,5772,7,4983,7,2026-05-23,115.12
518,5776,35,3103,10,2025-05-26,69.71
519,5793,25,3429,9,2024-12-08,173.57
520,5816,58,3971,6,2025-05-26,50.96
521,5829,45,4325,9,2026-04-25,252.65
522,5852,27,1395,8,2024-11-01,1145.63
523,5859,50,3973,5,2025-03-26,820.84
524,5887,32,5073,9,2024-11-02,371.93
525,5947,53,4968,10,2026-05-06,134.63
526,5958,55,2084,7,2025-07-25,46.9
527,5959,57,4220,3,2024-11-13,149.52
528,5980,56,1728,1,2024-12-20,127.42
529,5998,3,1589,4,2025-12-07,160.12
530,6001,11,5141,6,2024-09-22,54.26
531,6002,52,5827,6,2025-03-25,127.6
532,6010,13,3714,9,2024-09-09,488.23
533,6013,52,3663,6,2025-03-21,167.42
534,6030,13,1243,9,2024-09-02,405.82
535,6045,9,4149,3,2024-09-08,121.85
536,6090,38,2604,5,2025-11-20,799.89
537,6107,36,2780,10,2025-04-28,93.01
538,6126,50,3767,5,2025-04-03,533.92
539,6127,40,4962,6,2026-03-14,71.95
540,6133,41,1686,9,2026-02-09,220.76
541,6135,41,4463,9,2026-01-30,337.6
542,6139,12,772,5,2024-07-25,727.35
543,6142,55,4078,7,2025-07-13,60.97
544,6149,48,3852,10,2026-01-27,178.96
545,6172,36,2328,10,2025-05-05,184.49
546,6179,30,5752,10,2024-11-28,178.1
547,6211,37,4981,10,2025-01-19,88.4
548,6217,42,862,3,2025-01-25,196.74
549,6226,9,4917,3,2024-09-04,152.42
550,6227,53,4069,10,2026-05-28,59.21
551,6246,37,4392,10,2025-01-09,161.55
552,6250,55,2109,7,2025-07-27,76.95
553,6276,48,4821,10,2026-02-09,79.3
554,6281,12,3580,5,2024-08-07,580.26
555,6283,42,2643,3,2024-12-25,133.68
556,6285,36,3736,10,2025-04-17,130.24
557,6291,12,4524,5,2024-07-27,780.51
558,6311,44,4331,9,2025-01-16,550.17
559,6328,5,1986,2,2024-11-02,82.06
560,6355,46,3612,8,2025-01-13,1202.54
561,6358,32,3439,9,2024-10-14,333.18
562,6371,18,3345,6,2025-04-12,131.02
563,6380,12,674,5,2024-07-23,734.38
564,6381,32,1787,9,2024-09-30,257.24
565,6383,39,1494,7,2024-12-04,30.16
566,6387,39,3065,7,2024-12-12,69.13
567,6406,3,5230,4,2025-12-05,113.96
568,6408,58,5304,6,2025-05-17,177.82
569,6421,52,386,6,2025-04-10,143.15
570,6422,35,867,10,2025-06-01,120.16
571,6423,58,2345,6,2025-05-14,116.2
572,6425,11,1384,6,2024-09-24,133.24
573,6434,1,3769,8,2025-04-06,501.18
574,6449,7,2698,7,2026-06-10,72.09
575,6450,43,4110,5,2026-01-24,200.16
576,6458,18,1131,6,2025-03-17,91.61
577,6459,33,373,5,2026-01-28,614.9
578,6467,11,5453,6,2024-08-27,175.88
579,6472,33,3599,5,2026-03-06,277.25
580,6501,48,1448,10,2026-01-29,189.55
581,6520,16,585,2,2025-01-20,108.34
582,6547,43,2556,5,2026-01-31,718.36
583,6557,34,4592,8,2025-06-30,1032.61
584,6573,27,1003,8,2024-10-26,1056.85
585,6574,26,581,4,2025-10-30,121.18
586,6583,6,2300,2,2025-02-26,84.1
587,6593,52,917,6,2025-02-17,102.12
588,6594,27,2262,8,2024-10-26,1226.13
589,6604,60,4336,5,2025-04-29,230.78
590,6637,45,3962,9,2026-05-27,460.26
591,6651,4,112,3,2024-12-19,132.7
592,6660,60,5051,5,2025-04-16,623.68
593,6677,50,5599,5,2025-04-23,368.63
594,6695,46,2730,8,2025-01-25,797.54
595,6711,3,5197,4,2025-12-07,195.97
596,6725,59,4737,7,2026-04-20,37.07
597,6738,46,5025,8,2025-02-07,918.24
598,6780,45,3118,9,2026-04-08,577.27
599,6788,23,504,10,2026-01-02,116.26
600,6791,14,3409,6,2024-11-23,84.57
601,6812,27,3788,8,2024-10-31,816.92
602,6818,51,5097,3,2025-09-09,170.02
603,6836,9,2053,3,2024-08-27,63.48
604,6851,34,4345,8,2025-06-19,985.83
605,6854,53,5796,10,2026-05-14,99.25
606,6864,44,2041,9,2024-12-22,173.31
607,6894,51,3717,3,2025-10-03,170.72
608,6901,47,4715,4,2024-10-05,91.55
609,6903,55,136,7,2025-07-30,114.84
610,6910,34,1356,8,2025-06-14,306.14
611,6927,36,4844,10,2025-03-29,197.42
612,6930,34,257,8,2025-06-27,1142.79
