impression_id,campaign_id,customer_id,channel_id,impression_date,device_type
92,36,657,5,2025-04-02,Mobile
93,60,3785,5,2025-04-14,Desktop
94,27,1469,2,2024-10-23,Tablet
95,36,1678,5,2025-03-31,Mobile
96,21,5434,3,2026-01-14,Desktop
97,11,2823,3,2024-09-17,Mobile
98,6,2361,5,2025-03-11,Mobile
99,7,4353,5,2026-05-30,Tablet
100,50,5501,1,2025-04-23,Desktop
101,2,156,1,2024-11-16,Tablet
102,46,2716,4,2025-01-02,Mobile
103,4,3654,1,2024-12-05,Mobile
104,37,1928,5,2025-01-26,Mobile
105,8,4652,2,2025-08-06,Mobile
106,30,5838,6,2024-11-27,Tablet
107,49,5684,5,2025-10-01,Mobile
108,48,1615,2,2026-01-26,Tablet
109,21,1374,3,2026-01-11,Desktop
110,25,5767,3,2024-12-11,Desktop
111,36,2772,5,2025-03-25,Tablet
112,31,1251,4,2025-01-24,Desktop
113,2,4254,1,2024-11-18,Desktop
114,25,1714,3,2024-12-28,Tablet
115,41,1623,3,2026-02-12,Tablet
116,17,5316,2,2024-12-22,Mobile
117,55,973,3,2025-08-05,Mobile
118,12,378,1,2024-08-03,Tablet
119,57,1635,2,2024-10-21,Mobile
120,3,3630,4,2025-12-15,Tablet
121,44,729,1,2024-12-11,Tablet
122,7,2850,5,2026-06-06,Desktop
123,28,3761,6,2025-04-26,Mobile
124,3,5104,4,2025-12-07,Mobile
125,39,1395,6,2024-12-12,Desktop
126,56,4923,5,2024-12-20,Mobile
127,20,1428,6,2025-05-16,Tablet
128,46,4059,4,2025-01-29,Tablet
129,45,2614,4,2026-05-17,Tablet
130,56,674,5,2024-12-15,Desktop
131,50,4289,1,2025-04-16,Mobile
132,22,1316,5,2024-10-18,Desktop
133,28,1059,6,2025-05-05,Mobile
134,30,2165,6,2024-11-24,Desktop
135,34,3915,3,2025-06-17,Desktop
136,44,1421,1,2025-01-02,Mobile
137,47,1101,3,2024-09-28,Desktop
138,4,62,1,2025-01-18,Mobile
139,24,2851,6,2025-10-26,Tablet
140,34,2603,3,2025-06-14,Mobile
141,51,1421,6,2025-10-07,Mobile
142,23,312,1,2026-01-02,Mobile
143,8,2607,2,2025-08-06,Desktop
144,33,4745,3,2026-02-13,Tablet
145,55,4295,3,2025-07-19,Mobile
146,43,5192,2,2026-01-20,Tablet
147,12,62,1,2024-08-03,Tablet
148,50,5815,1,2025-03-27,Mobile
149,24,2065,6,2025-10-23,Tablet
150,52,5945,1,2025-03-07,Mobile
151,50,1532,1,2025-04-16,Desktop
152,19,2850,4,2025-04-27,Tablet
153,32,2141,3,2024-09-18,Tablet
154,5,2150,1,2024-10-21,Tablet
155,11,5065,3,2024-09-24,Mobile
156,37,4492,5,2025-01-02,Tablet
157,20,5955,6,2025-04-23,Desktop
158,19,3669,4,2025-05-08,Desktop
159,26,2798,3,2025-10-30,Tablet
160,45,527,4,2026-04-03,Tablet
161,17,5983,2,2024-12-31,Tablet
162,8,3305,2,2025-08-10,Tablet
163,19,4210,4,2025-04-19,Mobile
164,47,2458,3,2024-10-25,Tablet
165,46,3286,4,2025-01-30,Tablet
166,46,5680,4,2025-01-10,Tablet
167,4,994,1,2025-01-25,Mobile
168,36,1765,5,2025-05-14,Mobile
169,27,913,2,2024-10-22,Mobile
170,38,4770,2,2025-11-21,Desktop
171,22,362,5,2024-10-29,Mobile
172,49,476,5,2025-10-27,Tablet
173,2,1798,1,2024-11-17,Tablet
174,11,3087,3,2024-08-28,Tablet
175,15,2452,6,2026-05-18,Desktop
176,58,261,1,2025-05-25,Tablet
177,57,5767,2,2024-11-20,Tablet
178,54,5745,1,2025-09-12,Tablet
179,55,1685,3,2025-07-27,Tablet
180,6,4394,5,2025-01-19,Desktop
181,59,3462,5,2026-05-08,Desktop
182,8,1440,2,2025-08-13,Tablet
183,22,1590,5,2024-10-23,Tablet
184,56,2954,5,2024-12-17,Tablet
185,46,2546,4,2024-12-27,Tablet
186,43,1756,2,2026-01-10,Desktop
187,14,4865,2,2024-11-26,Desktop
188,45,2906,4,2026-05-11,Tablet
189,9,3926,2,2024-09-10,Desktop
190,34,1126,3,2025-06-11,Tablet
191,54,3197,1,2025-09-24,Desktop
192,16,1927,6,2025-01-16,Desktop
193,42,3153,2,2025-01-22,Mobile
194,28,4705,6,2025-04-20,Tablet
195,39,4630,6,2024-12-06,Desktop
196,36,2145,5,2025-04-08,Desktop
197,49,4174,5,2025-09-09,Tablet
198,13,5670,4,2024-09-17,Mobile
199,18,3747,4,2025-03-17,Tablet
200,32,887,3,2024-10-07,Desktop
201,50,4084,1,2025-03-28,Mobile
202,50,614,1,2025-04-12,Mobile
203,48,5267,2,2026-02-12,Tablet
204,34,3099,3,2025-06-24,Desktop
205,40,2321,5,2026-03-11,Tablet
206,11,332,3,2024-09-14,Desktop
207,55,2293,3,2025-08-12,Mobile
208,27,5460,2,2024-11-02,Tablet
209,1,134,6,2025-04-27,Desktop
210,37,2867,5,2025-01-16,Desktop
211,26,5613,3,2025-11-03,Mobile
212,46,2375,4,2024-12-31,Desktop
213,5,2600,1,2024-11-04,Tablet
214,58,3461,1,2025-05-08,Desktop
215,35,2796,6,2025-05-16,Tablet
216,27,1010,2,2024-10-28,Desktop
217,37,120,5,2025-01-21,Tablet
218,38,3648,2,2025-11-08,Desktop
219,47,5562,3,2024-11-08,Mobile
220,18,622,4,2025-04-28,Tablet
221,27,1269,2,2024-11-01,Mobile
222,58,2230,1,2025-05-13,Mobile
223,35,4873,6,2025-05-23,Mobile
224,40,1635,5,2026-03-13,Desktop
225,18,5333,4,2025-05-03,Desktop
226,46,319,4,2025-01-16,Tablet
227,46,5669,4,2025-01-31,Desktop
228,26,3360,3,2025-11-02,Desktop
229,25,3949,3,2024-12-14,Mobile
230,6,2216,5,2025-01-12,Tablet
231,9,4708,2,2024-08-28,Mobile
232,12,995,1,2024-07-25,Tablet
233,41,283,3,2026-01-27,Tablet
234,6,2381,5,2025-02-01,Desktop
235,5,5138,1,2024-10-27,Desktop
236,49,4538,5,2025-09-08,Tablet
237,3,3102,4,2025-12-08,Desktop
238,35,3422,6,2025-06-02,Desktop
239,41,771,3,2026-01-28,Mobile
240,20,5058,6,2025-05-07,Tablet
241,19,4737,4,2025-04-20,Mobile
242,45,3936,4,2026-05-11,Mobile
243,45,2817,4,2026-05-11,Mobile
244,35,5805,6,2025-06-05,Tablet
245,35,5314,6,2025-06-02,Desktop
246,40,3860,5,2026-03-04,Mobile
247,24,2241,6,2025-10-14,Tablet
248,26,3695,3,2025-11-06,Tablet
249,24,3442,6,2025-10-08,Desktop
250,22,2373,5,2024-10-16,Mobile
251,52,1846,1,2025-02-23,Mobile
252,38,2461,2,2025-11-18,Tablet
253,11,3436,3,2024-09-03,Mobile
254,16,2600,6,2025-02-14,Desktop
255,23,1600,1,2026-01-12,Mobile
256,56,4579,5,2024-12-23,Desktop
257,21,3186,3,2026-01-14,Mobile
258,50,391,1,2025-04-09,Mobile
259,18,2218,4,2025-04-10,Tablet
260,2,5349,1,2024-11-02,Tablet
261,51,4542,6,2025-09-09,Desktop
262,35,1950,6,2025-05-31,Tablet
263,59,5650,5,2026-05-10,Desktop
264,7,444,5,2026-05-19,Mobile
265,18,5794,4,2025-05-10,Tablet
266,42,1485,2,2024-11-30,Tablet
267,10,59,1,2026-01-10,Desktop
268,35,2628,6,2025-05-26,Desktop
269,23,2170,1,2025-12-28,Tablet
270,33,3235,3,2026-02-24,Tablet
271,25,4799,3,2024-11-24,Desktop
272,21,5067,3,2026-01-21,Tablet
273,18,2418,4,2025-04-05,Mobile
274,13,2610,4,2024-09-15,Desktop
275,37,885,5,2025-01-24,Desktop
276,23,275,1,2026-01-18,Desktop
277,59,3841,5,2026-04-27,Mobile
278,7,378,5,2026-05-16,Mobile
279,3,4411,4,2025-12-06,Tablet
280,19,3235,4,2025-05-11,Mobile
281,37,1184,5,2025-01-28,Tablet
282,40,3238,5,2026-03-08,Tablet
283,60,1098,5,2025-04-09,Mobile
284,56,2660,5,2024-12-23,Desktop
285,23,4816,1,2026-01-16,Desktop
286,10,2790,1,2025-12-06,Mobile
287,9,888,2,2024-08-31,Tablet
288,12,4352,1,2024-08-03,Tablet
289,33,1116,3,2026-02-14,Tablet
290,41,4441,3,2026-01-29,Desktop
291,60,2895,5,2025-04-08,Mobile
292,52,2745,1,2025-04-01,Desktop
293,35,5123,6,2025-05-21,Desktop
294,34,4260,3,2025-06-19,Mobile
295,50,196,1,2025-03-24,Desktop
296,22,1787,5,2024-10-18,Mobile
297,52,5258,1,2025-02-27,Desktop
298,6,118,5,2025-01-23,Mobile
299,40,3272,5,2026-02-26,Tablet
300,4,4371,1,2024-12-12,Desktop
301,45,3721,4,2026-05-10,Mobile
302,25,4577,3,2024-12-30,Desktop
303,42,4362,2,2024-12-24,Tablet
304,44,4160,1,2025-01-02,Mobile
305,43,4947,2,2026-01-15,Desktop
306,5,3868,1,2024-11-02,Desktop
307,39,2424,6,2024-11-25,Mobile
308,51,2852,6,2025-10-04,Desktop
309,41,4306,3,2026-02-21,Mobile
310,13,5292,4,2024-09-16,Mobile
311,4,1648,1,2024-12-19,Mobile
312,34,2068,3,2025-06-11,Desktop
313,40,5611,5,2026-02-25,Desktop
314,57,3461,2,2024-10-30,Tablet
315,41,1072,3,2026-02-07,Mobile
316,53,3973,3,2026-05-22,Tablet
317,21,5948,3,2026-01-15,Tablet
318,26,4958,3,2025-10-23,Tablet
319,27,4488,2,2024-10-31,Mobile
320,53,1249,3,2026-05-19,Mobile
321,18,5290,4,2025-04-02,Desktop
322,17,3149,2,2024-12-02,Mobile
323,48,5377,2,2026-02-08,Tablet
324,41,1988,3,2026-02-08,Desktop
325,19,362,4,2025-04-27,Mobile
326,34,2876,3,2025-06-14,Desktop
327,19,1637,4,2025-05-07,Desktop
328,39,4295,6,2024-12-07,Mobile
329,43,5764,2,2026-01-18,Tablet
330,16,4152,6,2025-02-12,Desktop
331,58,5363,1,2025-05-27,Desktop
332,59,2742,5,2026-05-06,Desktop
333,39,4647,6,2024-12-02,Desktop
334,47,5072,3,2024-10-08,Mobile
335,29,4270,1,2025-05-07,Tablet
336,24,3050,6,2025-10-23,Tablet
337,3,3749,4,2025-12-07,Tablet
338,55,4210,3,2025-08-20,Desktop
339,52,1536,1,2025-03-13,Tablet
340,59,4878,5,2026-04-29,Tablet
341,54,5731,1,2025-09-22,Desktop
342,60,2807,5,2025-04-18,Desktop
343,34,4217,3,2025-06-29,Desktop
344,28,4431,6,2025-04-18,Tablet
345,40,3965,5,2026-02-24,Desktop
346,9,3283,2,2024-09-13,Mobile
347,3,5328,4,2025-12-03,Tablet
348,16,2721,6,2025-02-07,Desktop
349,37,355,5,2024-12-31,Mobile
350,12,5081,1,2024-08-04,Mobile
351,3,4038,4,2025-12-16,Mobile
352,39,5108,6,2024-11-25,Mobile
353,27,820,2,2024-11-01,Desktop
354,24,184,6,2025-10-25,Tablet
355,8,5632,2,2025-07-24,Tablet
356,54,882,1,2025-09-24,Mobile
357,24,4878,6,2025-10-06,Mobile
358,60,4955,5,2025-04-11,Tablet
359,33,4260,3,2026-03-21,Mobile
360,12,778,1,2024-08-02,Desktop
361,17,3999,2,2024-12-14,Mobile
362,13,5376,4,2024-09-02,Mobile
363,55,2583,3,2025-07-29,Desktop
364,60,2503,5,2025-04-22,Mobile
365,34,2679,3,2025-06-26,Mobile
366,19,482,4,2025-05-12,Tablet
367,44,5400,1,2024-12-27,Tablet
368,41,5249,3,2026-02-14,Mobile
369,38,5989,2,2025-11-18,Mobile
370,40,3502,5,2026-03-01,Desktop
371,13,4515,4,2024-09-05,Tablet
372,42,1216,2,2024-12-27,Tablet
373,36,3999,5,2025-04-08,Desktop
374,5,3890,1,2024-11-06,Tablet
375,46,5448,4,2025-02-06,Desktop
376,29,5001,1,2025-04-15,Desktop
377,13,5651,4,2024-09-03,Desktop
378,42,5246,2,2024-12-22,Tablet
379,42,5245,2,2025-01-13,Desktop
380,49,374,5,2025-10-13,Desktop
381,23,5090,1,2026-01-17,Desktop
382,14,3634,2,2024-11-19,Tablet
383,13,2291,4,2024-08-27,Mobile
384,18,330,4,2025-04-08,Tablet
385,37,4067,5,2025-01-23,Tablet
386,45,1979,4,2026-04-11,Desktop
387,33,2828,3,2026-02-11,Mobile
388,13,4097,4,2024-08-29,Tablet
389,23,5513,1,2026-01-03,Mobile
390,26,4970,3,2025-11-03,Tablet
391,50,2727,1,2025-04-24,Mobile
392,1,2337,6,2025-03-30,Mobile
393,16,1454,6,2025-03-05,Mobile
394,42,2244,2,2024-12-02,Mobile
395,48,650,2,2026-02-11,Mobile
396,53,5837,3,2026-05-24,Mobile
397,17,3436,2,2025-01-03,Desktop
398,36,758,5,2025-04-23,Mobile
399,28,2136,6,2025-04-14,Desktop
400,5,3283,1,2024-11-11,Mobile
401,60,3193,5,2025-04-09,Tablet
402,44,215,1,2024-12-15,Desktop
403,15,5734,6,2026-04-30,Desktop
404,14,1665,2,2024-11-20,Mobile
405,3,108,4,2025-12-13,Tablet
406,56,443,5,2024-12-16,Desktop
407,13,3472,4,2024-08-27,Tablet
408,53,814,3,2026-05-09,Desktop
409,53,244,3,2026-05-16,Tablet
410,14,2286,2,2024-12-07,Mobile
411,4,3727,1,2025-01-12,Desktop
412,18,656,4,2025-03-27,Mobile
413,14,1892,2,2024-12-13,Desktop
414,31,2536,4,2025-01-23,Desktop
415,55,953,3,2025-07-29,Desktop
416,35,3043,6,2025-05-26,Tablet
417,5,499,1,2024-11-08,Desktop
418,24,270,6,2025-11-01,Mobile
419,1,3116,6,2025-04-15,Mobile
420,18,1502,4,2025-05-10,Tablet
421,41,552,3,2026-02-21,Mobile
422,57,2574,2,2024-10-26,Mobile
423,38,5531,2,2025-11-17,Mobile
424,7,4355,5,2026-06-01,Tablet
425,34,4913,3,2025-06-24,Desktop
426,52,5266,1,2025-04-05,Tablet
427,19,5846,4,2025-05-07,Mobile
428,49,4587,5,2025-10-13,Mobile
429,44,3638,1,2024-12-25,Mobile
430,24,2205,6,2025-11-06,Mobile
431,30,1090,6,2024-11-26,Mobile
432,14,4124,2,2024-12-05,Desktop
433,50,5973,1,2025-03-15,Mobile
434,32,2826,3,2024-10-08,Tablet
435,30,4351,6,2024-11-18,Mobile
436,4,2976,1,2024-12-29,Tablet
437,44,2619,1,2024-12-13,Tablet
438,33,2483,3,2026-03-06,Tablet
439,28,3031,6,2025-05-13,Mobile
440,46,2212,4,2024-12-24,Desktop
441,38,4505,2,2025-11-10,Mobile
442,34,5280,3,2025-06-14,Tablet
443,29,5337,1,2025-05-12,Tablet
444,44,1382,1,2024-12-13,Tablet
445,1,5422,6,2025-04-17,Mobile
446,11,2066,3,2024-08-20,Tablet
447,7,1864,5,2026-05-29,Desktop
448,23,4367,1,2026-01-18,Tablet
449,13,1835,4,2024-08-29,Tablet
450,4,307,1,2024-12-20,Mobile
451,59,2251,5,2026-05-06,Tablet
452,56,4336,5,2024-12-11,Mobile
453,7,1974,5,2026-05-21,Desktop
454,44,3772,1,2025-01-10,Desktop
455,14,3956,2,2024-12-07,Mobile
456,26,4411,3,2025-11-04,Tablet
457,43,5427,2,2026-01-25,Mobile
458,32,2621,3,2024-09-29,Tablet
459,55,994,3,2025-07-28,Desktop
460,58,1929,1,2025-05-15,Mobile
461,7,2620,5,2026-05-31,Tablet
462,32,4287,3,2024-10-20,Desktop
463,48,80,2,2026-02-07,Mobile
464,15,1908,6,2026-04-24,Desktop
465,38,4697,2,2025-11-12,Mobile
466,52,4018,1,2025-04-08,Mobile
467,19,4397,4,2025-05-08,Desktop
468,15,4887,6,2026-04-30,Desktop
469,19,4716,4,2025-05-08,Desktop
470,35,4100,6,2025-06-03,Tablet
471,15,2664,6,2026-04-21,Mobile
472,42,5909,2,2025-01-20,Desktop
473,52,3406,1,2025-03-17,Tablet
474,30,1217,6,2024-11-26,Mobile
475,30,1769,6,2024-11-17,Tablet
476,51,4170,6,2025-09-06,Desktop
477,33,5579,3,2026-01-28,Mobile
478,9,1069,2,2024-08-26,Desktop
479,55,482,3,2025-07-24,Tablet
480,35,5326,6,2025-06-03,Desktop
481,36,5531,5,2025-05-02,Tablet
482,6,1674,5,2025-03-10,Desktop
483,14,2271,2,2024-12-08,Mobile
484,10,3956,1,2025-12-09,Desktop
485,37,1990,5,2025-01-22,Desktop
486,35,5298,6,2025-05-19,Tablet
487,24,628,6,2025-11-06,Tablet
488,2,225,1,2024-11-02,Mobile
489,22,1252,5,2024-10-08,Mobile
490,38,1724,2,2025-11-20,Tablet
491,21,662,3,2026-01-20,Mobile
492,9,382,2,2024-08-29,Desktop
493,36,4542,5,2025-04-09,Tablet
494,41,983,3,2026-02-16,Tablet
495,23,5522,1,2025-12-29,Tablet
496,23,2216,1,2026-01-03,Mobile
497,59,4016,5,2026-04-20,Mobile
498,20,1366,6,2025-05-01,Tablet
499,34,1456,3,2025-06-25,Tablet
500,15,3440,6,2026-05-27,Desktop
501,27,3359,2,2024-10-28,Tablet
502,36,4630,5,2025-04-16,Tablet
503,37,4561,5,2025-01-14,Desktop
504,6,4017,5,2025-02-23,Mobile
505,26,2722,3,2025-11-03,Tablet
506,46,5388,4,2025-02-06,Desktop
507,12,3726,1,2024-07-31,Tablet
508,12,5944,1,2024-07-26,Mobile
509,9,4935,2,2024-09-01,Tablet
510,2,257,1,2024-11-12,Desktop
511,37,1935,5,2025-01-29,Mobile
512,14,3420,2,2024-12-10,Mobile
513,26,4336,3,2025-10-26,Mobile
514,37,3299,5,2025-01-08,Desktop
515,18,4733,4,2025-03-31,Desktop
516,59,1700,5,2026-05-09,Mobile
517,52,1102,1,2025-03-31,Tablet
518,4,314,1,2025-01-24,Tablet
519,12,3430,1,2024-07-26,Mobile
520,27,4135,2,2024-10-27,Mobile
521,35,1970,6,2025-05-26,Mobile
522,51,3669,6,2025-09-08,Tablet
523,22,305,5,2024-10-22,Mobile
524,29,580,1,2025-04-07,Mobile
525,16,4222,6,2025-02-21,Tablet
526,30,2217,6,2024-11-17,Tablet
527,14,4021,2,2024-12-15,Tablet
528,22,5008,5,2024-10-27,Desktop
529,33,5130,3,2026-03-07,Mobile
530,57,1035,2,2024-10-11,Desktop
531,49,2929,5,2025-09-09,Desktop
532,17,4412,2,2024-12-11,Tablet
533,13,4663,4,2024-09-12,Mobile
534,6,4724,5,2025-01-14,Tablet
535,1,1385,6,2025-04-03,Mobile
536,45,1146,4,2026-05-07,Desktop
537,53,3536,3,2026-05-19,Mobile
538,32,4453,3,2024-09-22,Tablet
539,11,1930,3,2024-09-20,Desktop
540,19,612,4,2025-04-07,Tablet
541,22,4306,5,2024-11-03,Mobile
542,58,1805,1,2025-05-06,Desktop
543,47,994,3,2024-10-01,Tablet
544,52,882,1,2025-02-16,Tablet
545,45,1902,4,2026-04-10,Mobile
546,57,3555,2,2024-10-19,Mobile
547,51,2165,6,2025-09-02,Tablet
548,58,133,1,2025-05-31,Tablet
549,9,565,2,2024-09-08,Desktop
550,3,1751,4,2025-12-09,Tablet
551,38,3952,2,2025-11-10,Mobile
552,2,576,1,2024-10-29,Tablet
553,50,3359,1,2025-04-22,Tablet
554,37,707,5,2025-01-21,Mobile
555,29,1273,1,2025-04-13,Mobile
556,38,1035,2,2025-11-14,Desktop
557,33,389,3,2026-01-30,Mobile
558,58,4021,1,2025-05-31,Mobile
559,41,2800,3,2026-01-23,Mobile
560,48,5002,2,2026-02-11,Tablet
561,18,578,4,2025-03-18,Desktop
562,14,862,2,2024-11-19,Tablet
563,13,1844,4,2024-09-06,Tablet
564,30,4609,6,2024-11-28,Desktop
565,1,1839,6,2025-04-06,Mobile
566,25,2469,3,2025-01-06,Tablet
567,5,1818,1,2024-11-11,Tablet
568,32,467,3,2024-09-22,Mobile
569,21,5658,3,2026-01-12,Tablet
570,12,3291,1,2024-07-24,Desktop
571,50,4742,1,2025-03-28,Desktop
572,8,3945,2,2025-07-23,Tablet
573,53,3089,3,2026-05-04,Tablet
574,9,525,2,2024-08-30,Desktop
575,2,3849,1,2024-11-15,Tablet
576,33,932,3,2026-03-16,Desktop
577,28,2507,6,2025-05-07,Tablet
578,28,3771,6,2025-04-16,Mobile
579,25,4710,3,2024-12-26,Desktop
580,27,4115,2,2024-10-22,Mobile
581,56,4022,5,2024-12-10,Desktop
582,49,891,5,2025-08-29,Tablet
583,43,2094,2,2026-01-29,Desktop
584,36,252,5,2025-04-24,Tablet
585,58,4325,1,2025-05-06,Desktop
586,15,5743,6,2026-04-14,Tablet
587,13,1603,4,2024-09-17,Desktop
588,46,513,4,2024-12-31,Mobile
589,6,2874,5,2025-02-18,Desktop
590,33,5156,3,2026-02-17,Mobile
591,21,3310,3,2026-01-08,Tablet
592,39,271,6,2024-11-30,Tablet
593,22,5852,5,2024-10-31,Desktop
594,47,4988,3,2024-10-20,Tablet
595,52,781,1,2025-03-03,Mobile
596,40,5566,5,2026-03-12,Mobile
597,12,2728,1,2024-08-02,Mobile
598,47,2241,3,2024-11-12,Tablet
599,40,2784,5,2026-03-10,Tablet
600,53,5025,3,2026-05-15,Mobile
601,45,3952,4,2026-05-20,Tablet
602,24,342,6,2025-11-08,Desktop
603,48,5767,2,2026-01-23,Mobile
604,39,882,6,2024-12-01,Desktop
605,32,4486,3,2024-09-16,Mobile
606,53,3812,3,2026-05-12,Mobile
607,53,1119,3,2026-05-17,Desktop
608,29,1025,1,2025-05-11,Desktop
609,28,5254,6,2025-04-30,Desktop
610,25,2548,3,2024-12-02,Desktop
611,25,3923,3,2024-12-26,Mobile
612,3,3027,4,2025-12-05,Mobile
613,47,4369,3,2024-10-14,Mobile
614,51,2894,6,2025-09-04,Mobile
615,52,1732,1,2025-02-16,Desktop
616,43,2196,2,2026-01-09,Desktop
617,29,5181,1,2025-04-13,Desktop
618,25,2828,3,2024-12-17,Mobile
619,12,1286,1,2024-07-28,Mobile
620,24,5634,6,2025-11-06,Desktop
621,18,4799,4,2025-04-02,Mobile
622,52,324,1,2025-02-17,Tablet
623,57,5995,2,2024-11-14,Mobile
624,55,4178,3,2025-08-06,Tablet
625,49,959,5,2025-10-13,Mobile
626,42,1438,2,2024-12-21,Desktop
627,4,4163,1,2025-01-25,Tablet
628,1,4696,6,2025-03-23,Desktop
629,15,1448,6,2026-04-28,Mobile
630,53,1556,3,2026-05-08,Desktop
631,11,1849,3,2024-09-16,Tablet
632,54,3584,1,2025-09-07,Desktop
633,53,1032,3,2026-05-14,Desktop
634,23,611,1,2026-01-02,Tablet
635,27,4076,2,2024-10-30,Tablet
636,8,4693,2,2025-07-17,Mobile
637,24,3011,6,2025-11-15,Tablet
638,24,2197,6,2025-10-20,Mobile
639,27,2619,2,2024-10-23,Mobile
640,60,2343,5,2025-04-10,Mobile
641,40,5785,5,2026-03-11,Desktop
642,2,4626,1,2024-11-24,Desktop
643,36,1249,5,2025-04-15,Tablet
644,54,2314,1,2025-09-24,Desktop
645,21,3266,3,2026-01-13,Desktop
646,29,3665,1,2025-06-02,Desktop
647,38,2829,2,2025-11-17,Mobile
648,30,4880,6,2024-11-23,Desktop
649,43,4624,2,2026-01-26,Tablet
650,51,3034,6,2025-09-17,Desktop
651,43,5143,2,2026-01-17,Desktop
652,47,4515,3,2024-10-09,Mobile
653,23,4688,1,2026-01-05,Desktop
654,16,5761,6,2025-03-05,Mobile
655,51,1617,6,2025-09-03,Desktop
656,60,1627,5,2025-04-21,Desktop
657,43,5376,2,2026-01-08,Mobile
658,31,4651,4,2025-01-16,Tablet
659,5,5589,1,2024-10-20,Mobile
660,33,370,3,2026-03-16,Tablet
661,48,3764,2,2026-01-26,Mobile
662,14,861,2,2024-11-21,Mobile
663,36,3026,5,2025-05-05,Tablet
664,29,934,1,2025-05-26,Desktop
665,54,759,1,2025-09-21,Mobile
666,35,75,6,2025-05-18,Desktop
667,15,3776,6,2026-05-09,Desktop
668,50,2171,1,2025-04-21,Mobile
669,38,614,2,2025-11-15,Mobile
