click_id,impression_id,campaign_id,customer_id,channel_id,click_date,device_type
53,733,7,2253,5,2026-05-20,Tablet
54,760,6,5259,5,2025-01-18,Mobile
55,813,2,3238,1,2024-11-11,Tablet
56,814,3,516,4,2025-12-13,Mobile
57,822,56,4308,5,2024-12-16,Desktop
58,830,3,1892,4,2025-12-13,Mobile
59,861,29,5968,1,2025-05-02,Mobile
60,891,36,1114,5,2025-03-17,Desktop
61,906,20,2024,6,2025-04-30,Tablet
62,916,31,5572,4,2025-01-22,Tablet
63,927,56,3737,5,2024-12-11,Tablet
64,932,2,646,1,2024-10-29,Tablet
65,945,23,5013,1,2026-01-02,Mobile
66,949,24,2297,6,2025-10-28,Desktop
67,982,36,5813,5,2025-04-12,Desktop
68,999,48,3094,2,2026-02-15,Desktop
69,1048,6,3969,5,2025-03-04,Tablet
70,1049,23,5973,1,2026-01-18,Desktop
71,1050,53,158,3,2026-05-06,Mobile
72,1056,39,297,6,2024-12-11,Mobile
73,1060,9,4648,2,2024-09-08,Mobile
74,1071,59,4740,5,2026-04-29,Mobile
75,1072,20,3749,6,2025-05-16,Desktop
76,1075,32,5076,3,2024-10-17,Tablet
77,1076,36,3568,5,2025-04-09,Tablet
78,1077,19,4723,4,2025-04-05,Desktop
79,1079,36,3419,5,2025-05-08,Tablet
80,1087,27,1146,2,2024-10-26,Desktop
81,1088,60,583,5,2025-04-09,Mobile
82,1100,15,676,6,2026-05-20,Tablet
83,1112,11,5921,3,2024-08-24,Mobile
84,1121,37,501,5,2025-01-27,Mobile
85,1163,4,5865,1,2025-01-01,Tablet
86,1164,28,1903,6,2025-04-29,Tablet
87,1168,52,338,1,2025-03-16,Tablet
88,1179,54,528,1,2025-09-12,Desktop
89,1205,45,2880,4,2026-04-02,Mobile
90,1218,36,5999,5,2025-04-08,Mobile
91,1224,9,2974,2,2024-09-02,Tablet
92,1228,34,4101,3,2025-06-30,Tablet
93,1268,40,3890,5,2026-02-28,Desktop
94,1290,38,3960,2,2025-11-14,Desktop
95,1299,52,3158,1,2025-04-03,Tablet
96,1301,47,345,3,2024-11-04,Mobile
97,1302,25,1380,3,2024-12-03,Mobile
98,1307,9,1228,2,2024-08-29,Desktop
99,1332,8,1228,2,2025-08-14,Desktop
100,1333,44,3698,1,2024-12-24,Desktop
101,1340,46,1977,4,2025-01-24,Mobile
102,1342,13,4247,4,2024-09-02,Mobile
103,1373,53,1125,3,2026-05-07,Mobile
104,1393,1,5417,6,2025-04-29,Desktop
105,1402,46,3960,4,2025-01-10,Mobile
106,1437,54,3823,1,2025-09-05,Tablet
107,1439,1,3753,6,2025-04-05,Tablet
108,1458,40,644,5,2026-02-22,Desktop
109,1470,58,4829,1,2025-05-21,Mobile
110,1471,55,4718,3,2025-07-25,Mobile
111,1480,43,1103,2,2026-01-09,Tablet
112,1483,19,310,4,2025-04-04,Desktop
113,1520,4,3047,1,2024-12-05,Mobile
114,1546,18,4104,4,2025-04-10,Desktop
115,1551,9,5978,2,2024-08-26,Tablet
116,1578,40,256,5,2026-03-02,Desktop
117,1584,11,264,3,2024-08-17,Tablet
118,1586,50,2525,1,2025-05-03,Tablet
119,1598,20,4832,6,2025-05-26,Tablet
120,1621,49,5846,5,2025-10-25,Tablet
121,1630,24,1359,6,2025-10-11,Mobile
122,1631,23,5698,1,2026-01-08,Mobile
123,1644,18,3448,4,2025-05-01,Mobile
124,1647,19,3860,4,2025-04-29,Mobile
125,1649,26,4734,3,2025-11-01,Desktop
126,1658,10,448,1,2026-01-10,Tablet
127,1691,31,5337,4,2025-01-17,Mobile
128,1716,9,3403,2,2024-08-26,Tablet
129,1718,49,3060,5,2025-09-19,Tablet
130,1739,1,2690,6,2025-04-09,Mobile
131,1767,54,4658,1,2025-09-14,Tablet
132,1781,48,429,2,2026-02-14,Mobile
133,1803,28,5526,6,2025-04-24,Mobile
134,1806,22,987,5,2024-11-03,Mobile
135,1816,57,3291,2,2024-11-19,Tablet
136,1825,17,3987,2,2024-12-19,Tablet
137,1830,57,4437,2,2024-10-31,Mobile
138,1835,18,3309,4,2025-05-15,Tablet
139,1846,53,5586,3,2026-05-24,Desktop
140,1858,35,5319,6,2025-05-25,Mobile
141,1902,34,5989,3,2025-06-16,Tablet
142,1905,1,4170,6,2025-04-25,Desktop
143,1958,56,4152,5,2024-12-15,Tablet
144,1978,19,3976,4,2025-05-31,Mobile
145,1989,22,5575,5,2024-10-17,Mobile
146,2007,28,2821,6,2025-05-13,Tablet
147,2008,25,2038,3,2024-12-10,Mobile
148,2016,41,1983,3,2026-02-13,Mobile
149,2040,44,2364,1,2024-12-02,Tablet
150,2050,5,5380,1,2024-10-23,Desktop
151,2052,17,5437,2,2024-12-26,Mobile
152,2064,38,3886,2,2025-11-08,Tablet
153,2076,42,5319,2,2024-12-06,Desktop
154,2080,46,4265,4,2025-01-25,Mobile
155,2112,57,3757,2,2024-10-19,Mobile
156,2126,58,3000,1,2025-05-18,Desktop
157,2149,17,5181,2,2024-12-17,Desktop
158,2152,46,945,4,2025-01-29,Tablet
159,2155,51,1842,6,2025-10-06,Mobile
160,2164,18,5754,4,2025-04-29,Desktop
161,2176,5,4238,1,2024-11-19,Tablet
162,2182,20,823,6,2025-05-12,Mobile
163,2189,19,1035,4,2025-05-22,Desktop
164,2207,3,623,4,2025-12-10,Desktop
165,2227,19,2148,4,2025-04-27,Desktop
166,2233,42,1589,2,2024-12-30,Desktop
167,2235,12,5731,1,2024-07-28,Mobile
168,2246,26,537,3,2025-10-29,Desktop
169,2284,17,526,2,2024-12-21,Tablet
170,2288,45,5110,4,2026-05-16,Mobile
171,2292,58,2584,1,2025-05-31,Tablet
172,2293,22,4755,5,2024-10-06,Tablet
173,2315,38,1399,2,2025-11-10,Mobile
174,2321,53,5441,3,2026-05-11,Mobile
175,2347,51,4521,6,2025-10-01,Desktop
176,2370,40,5556,5,2026-03-12,Tablet
177,2389,30,4797,6,2024-11-16,Mobile
178,2393,20,387,6,2025-05-18,Mobile
179,2401,47,3451,3,2024-10-29,Desktop
180,2423,18,2790,4,2025-03-24,Desktop
181,2441,22,431,5,2024-10-06,Desktop
182,2472,59,2747,5,2026-05-11,Desktop
183,2490,6,2990,5,2025-03-02,Mobile
184,2493,1,1350,6,2025-04-13,Tablet
185,2507,57,2356,2,2024-10-12,Mobile
186,2544,41,5035,3,2026-01-29,Mobile
187,2555,33,2332,3,2026-02-08,Mobile
188,2557,26,2298,3,2025-10-31,Tablet
189,2561,39,3680,6,2024-12-10,Mobile
190,2562,50,403,1,2025-04-27,Desktop
191,2572,23,3579,1,2025-12-29,Mobile
192,2617,4,1531,1,2025-01-07,Desktop
193,2618,40,1684,5,2026-02-25,Mobile
194,2661,57,5156,2,2024-11-20,Tablet
195,2667,57,1829,2,2024-10-17,Tablet
196,2669,29,5941,1,2025-05-30,Mobile
197,2703,58,2527,1,2025-06-03,Tablet
198,2748,38,1699,2,2025-11-13,Desktop
199,2762,23,878,1,2026-01-10,Desktop
200,2787,2,514,1,2024-11-05,Tablet
201,2793,52,4518,1,2025-03-04,Mobile
202,2815,46,1520,4,2025-01-16,Tablet
203,2822,10,1886,1,2025-12-28,Mobile
204,2829,57,4607,2,2024-10-23,Desktop
205,2832,29,5870,1,2025-06-05,Mobile
206,2833,21,5920,3,2026-01-22,Tablet
207,2849,23,143,1,2026-01-06,Mobile
208,2858,8,261,2,2025-07-20,Desktop
209,2862,59,2433,5,2026-04-28,Tablet
210,2875,40,1896,5,2026-03-07,Mobile
211,2893,20,2256,6,2025-04-17,Tablet
212,2896,56,3210,5,2024-12-22,Tablet
213,2905,10,5836,1,2025-12-08,Mobile
214,2914,19,4996,4,2025-04-26,Desktop
215,2917,3,3011,4,2025-12-08,Desktop
216,2931,25,175,3,2024-11-12,Tablet
217,2956,26,3712,3,2025-11-01,Tablet
218,2968,32,1304,3,2024-10-07,Tablet
219,3002,58,1691,1,2025-05-26,Tablet
220,3010,25,4555,3,2024-12-15,Desktop
221,3022,45,638,4,2026-04-27,Mobile
222,3025,29,2827,1,2025-05-14,Mobile
223,3040,15,2027,6,2026-04-18,Desktop
224,3041,30,3198,6,2024-11-24,Mobile
225,3045,38,1284,2,2025-11-14,Mobile
226,3052,12,1881,1,2024-08-02,Desktop
227,3059,1,4464,6,2025-03-22,Tablet
228,3066,41,2271,3,2026-02-11,Desktop
229,3101,41,4710,3,2026-01-23,Desktop
230,3129,20,3072,6,2025-05-04,Tablet
231,3162,24,3093,6,2025-10-18,Tablet
232,3231,3,5368,4,2025-12-15,Mobile
233,3238,54,3796,1,2025-09-19,Tablet
234,3245,49,3839,5,2025-09-14,Mobile
235,3276,23,5819,1,2026-01-02,Mobile
236,3278,60,1522,5,2025-04-11,Tablet
237,3307,20,2904,6,2025-05-09,Mobile
238,3318,4,4971,1,2025-01-09,Tablet
239,3347,21,3461,3,2026-01-20,Desktop
240,3357,15,1317,6,2026-05-01,Desktop
241,3381,49,125,5,2025-09-15,Mobile
242,3412,35,3973,6,2025-05-22,Desktop
243,3418,35,3849,6,2025-05-28,Tablet
244,3438,15,2670,6,2026-04-18,Mobile
245,3440,6,4222,5,2025-01-21,Desktop
246,3441,8,1055,2,2025-08-16,Tablet
247,3449,51,3441,6,2025-10-04,Desktop
248,3457,52,5598,1,2025-03-09,Mobile
249,3463,36,4207,5,2025-03-17,Desktop
250,3481,6,4361,5,2025-01-29,Desktop
251,3491,32,963,3,2024-09-21,Mobile
252,3507,55,3563,3,2025-08-19,Mobile
253,3512,24,4206,6,2025-10-04,Mobile
254,3533,2,770,1,2024-11-17,Desktop
255,3538,7,4450,5,2026-06-05,Desktop
256,3551,43,5725,2,2026-01-17,Tablet
257,3562,38,2175,2,2025-11-15,Tablet
258,3597,44,1870,1,2024-12-05,Mobile
259,3609,3,4805,4,2025-12-03,Mobile
260,3620,11,3664,3,2024-09-20,Tablet
261,3649,29,3506,1,2025-04-21,Desktop
262,3654,19,5048,4,2025-05-05,Tablet
263,3676,23,3168,1,2026-01-04,Mobile
264,3679,51,458,6,2025-08-27,Mobile
265,3682,46,1271,4,2025-02-06,Tablet
266,3692,30,5081,6,2024-11-16,Desktop
267,3694,9,3118,2,2024-09-08,Tablet
268,3740,10,1968,1,2026-01-15,Tablet
269,3794,50,4452,1,2025-04-05,Tablet
270,3818,53,1026,3,2026-05-06,Desktop
271,3819,37,2243,5,2025-01-21,Desktop
272,3873,11,1285,3,2024-08-26,Mobile
273,3913,51,4908,6,2025-08-27,Mobile
274,3919,11,5195,3,2024-09-07,Tablet
275,3921,26,1905,3,2025-11-05,Desktop
276,3927,13,1154,4,2024-09-14,Mobile
277,3928,57,5092,2,2024-11-02,Desktop
278,3944,33,5324,3,2026-03-08,Mobile
279,3971,55,5056,3,2025-08-16,Mobile
280,3972,24,5679,6,2025-10-14,Mobile
281,3986,6,4242,5,2025-01-17,Mobile
282,3993,54,5799,1,2025-09-13,Desktop
283,4026,8,3269,2,2025-07-25,Mobile
284,4052,49,1761,5,2025-08-29,Mobile
285,4069,52,2150,1,2025-03-21,Mobile
286,4086,44,2148,1,2024-12-09,Tablet
287,4096,31,4008,4,2025-01-30,Mobile
288,4097,52,720,1,2025-03-18,Tablet
289,4104,17,4223,2,2024-12-28,Tablet
290,4111,17,605,2,2024-12-29,Mobile
291,4129,23,374,1,2026-01-04,Mobile
292,4139,1,5999,6,2025-04-05,Tablet
293,4140,35,4684,6,2025-05-23,Mobile
294,4141,1,5860,6,2025-05-04,Mobile
295,4146,14,2527,2,2024-12-05,Tablet
296,4147,28,4987,6,2025-04-18,Tablet
297,4150,12,4666,1,2024-08-02,Desktop
298,4185,26,889,3,2025-11-07,Tablet
299,4213,31,1472,4,2025-01-18,Tablet
300,4227,8,4855,2,2025-08-15,Desktop
301,4251,46,1,4,2025-01-26,Desktop
302,4258,25,3647,3,2024-11-21,Tablet
303,4264,32,4204,3,2024-09-23,Tablet
304,4280,30,3846,6,2024-11-28,Tablet
305,4313,24,5488,6,2025-11-02,Tablet
306,4317,59,4243,5,2026-05-04,Desktop
307,4346,11,4359,3,2024-09-15,Mobile
308,4395,24,3073,6,2025-10-16,Tablet
309,4407,2,4883,1,2024-11-10,Mobile
310,4414,37,3914,5,2025-01-21,Tablet
311,4434,37,3011,5,2025-01-16,Tablet
312,4440,24,2116,6,2025-11-13,Tablet
313,4458,42,5790,2,2025-01-24,Desktop
314,4459,6,986,5,2025-02-17,Mobile
315,4483,4,275,1,2024-12-09,Mobile
316,4484,30,5223,6,2024-11-21,Tablet
317,4485,19,1018,4,2025-04-10,Desktop
318,4490,12,5296,1,2024-07-26,Desktop
319,4493,60,2624,5,2025-04-21,Tablet
320,4494,60,5568,5,2025-04-27,Mobile
321,4505,42,1754,2,2025-01-19,Desktop
322,4512,57,2354,2,2024-10-18,Tablet
323,4519,23,4462,1,2025-12-29,Mobile
324,4531,15,4630,6,2026-05-28,Mobile
325,4566,28,5107,6,2025-05-14,Desktop
326,4579,48,5627,2,2026-02-09,Desktop
327,4610,52,2297,1,2025-02-20,Desktop
328,4625,34,1229,3,2025-06-21,Mobile
329,4626,10,2844,1,2025-12-19,Tablet
330,4691,59,1134,5,2026-05-06,Desktop
331,4701,35,2492,6,2025-06-03,Desktop
332,4714,25,455,3,2024-12-12,Tablet
333,4727,37,5659,5,2025-01-10,Mobile
334,4733,9,3672,2,2024-09-03,Mobile
335,4751,43,1430,2,2026-01-27,Mobile
336,4772,9,4630,2,2024-09-13,Tablet
337,4779,2,3608,1,2024-11-13,Tablet
338,4782,58,1387,1,2025-05-30,Mobile
339,4791,32,3891,3,2024-10-01,Mobile
340,4799,54,4498,1,2025-09-10,Mobile
341,4804,48,5742,2,2026-02-09,Desktop
342,4850,54,4962,1,2025-09-14,Mobile
343,4859,40,3015,5,2026-03-03,Mobile
344,4868,19,5354,4,2025-05-27,Mobile
345,4882,8,2031,2,2025-07-20,Desktop
346,4894,14,1404,2,2024-12-05,Desktop
347,4902,7,5477,5,2026-05-21,Desktop
348,4909,22,4696,5,2024-10-31,Mobile
349,4916,21,3024,3,2026-01-23,Desktop
350,4928,23,1457,1,2026-01-12,Mobile
351,4937,21,4918,3,2026-01-19,Desktop
352,4939,20,5643,6,2025-05-21,Desktop
353,4950,35,4324,6,2025-05-19,Tablet
354,4968,18,4460,4,2025-04-14,Mobile
355,4981,46,2945,4,2025-01-07,Mobile
356,4993,34,1172,3,2025-06-16,Desktop
357,4995,30,2858,6,2024-12-03,Tablet
358,5020,57,319,2,2024-10-08,Tablet
359,5023,55,1547,3,2025-07-15,Desktop
360,5028,8,3263,2,2025-07-27,Desktop
361,5031,19,4979,4,2025-04-06,Mobile
362,5046,59,4022,5,2026-05-06,Tablet
363,5050,26,2860,3,2025-11-06,Desktop
364,5087,46,600,4,2025-01-31,Desktop
365,5126,52,953,1,2025-02-19,Tablet
366,5138,55,2313,3,2025-08-12,Tablet
367,5143,21,1132,3,2026-01-16,Tablet
368,5149,1,4931,6,2025-04-17,Tablet
369,5150,42,5369,2,2024-11-28,Desktop
370,5155,44,3347,1,2025-01-10,Desktop
371,5178,47,4052,3,2024-10-24,Desktop
372,5179,15,4184,6,2026-05-06,Desktop
373,5190,26,5985,3,2025-10-30,Desktop
374,5193,1,462,6,2025-04-25,Desktop
375,5199,58,1784,1,2025-05-04,Desktop
376,5204,36,58,5,2025-05-11,Desktop
377,5208,53,5584,3,2026-05-21,Desktop
378,5209,20,5830,6,2025-04-17,Mobile
379,5244,14,701,2,2024-11-19,Mobile
380,5250,5,2215,1,2024-11-04,Mobile
381,5264,30,362,6,2024-12-03,Desktop
382,5271,58,623,1,2025-05-14,Tablet
383,5312,46,1791,4,2025-01-22,Mobile
384,5331,8,4588,2,2025-08-15,Mobile
385,5337,49,1646,5,2025-10-08,Tablet
386,5341,45,4510,4,2026-05-15,Tablet
387,5347,51,1212,6,2025-10-07,Desktop
388,5378,55,2406,3,2025-08-05,Mobile
389,5405,27,2777,2,2024-10-22,Desktop
390,5451,55,3439,3,2025-07-13,Desktop
391,5456,42,4705,2,2024-12-14,Desktop
392,5460,42,4230,2,2025-01-24,Mobile
393,5464,7,2059,5,2026-06-04,Desktop
394,5478,48,4452,2,2026-02-07,Tablet
395,5482,10,4096,1,2025-11-29,Mobile
396,5486,7,3581,5,2026-05-18,Desktop
397,5491,9,3695,2,2024-09-17,Mobile
398,5497,41,946,3,2026-02-12,Mobile
399,5499,37,1409,5,2025-01-08,Mobile
400,5501,1,1364,6,2025-04-28,Tablet
401,5508,14,5633,2,2024-12-05,Mobile
402,5511,46,4389,4,2025-01-11,Mobile
403,5543,26,4336,3,2025-11-03,Desktop
404,5559,60,2699,5,2025-04-29,Tablet
405,5583,58,4491,1,2025-05-12,Tablet
406,5588,53,5812,3,2026-05-22,Mobile
407,5591,43,3472,2,2026-01-09,Mobile
408,5597,38,1554,2,2025-11-11,Desktop
409,5613,46,920,4,2025-02-02,Desktop
410,5672,28,1435,6,2025-04-23,Mobile
411,5721,50,4224,1,2025-04-08,Mobile
412,5728,54,2567,1,2025-09-27,Mobile
413,5781,20,5233,6,2025-05-02,Desktop
414,5786,2,184,1,2024-11-13,Mobile
415,5799,21,2616,3,2026-01-15,Mobile
416,5805,56,2879,5,2024-12-23,Desktop
417,5809,48,4676,2,2026-02-04,Desktop
418,5832,11,3520,3,2024-09-13,Tablet
419,5843,57,5979,2,2024-11-21,Desktop
420,5864,58,2428,1,2025-05-27,Desktop
421,5888,39,4526,6,2024-12-14,Desktop
422,5890,40,3696,5,2026-02-20,Desktop
423,5892,26,2978,3,2025-10-27,Mobile
424,5912,39,5745,6,2024-12-13,Mobile
425,5921,41,5531,3,2026-01-31,Tablet
426,5959,3,3520,4,2025-12-16,Mobile
427,5971,6,5155,5,2025-01-20,Tablet
428,5992,42,291,2,2024-12-04,Mobile
429,5997,49,1188,5,2025-10-27,Desktop
430,6003,55,4434,3,2025-07-13,Desktop
431,6015,11,1321,3,2024-09-21,Tablet
432,6049,25,1358,3,2024-11-10,Desktop
433,6066,48,1432,2,2026-01-29,Tablet
434,6080,2,4032,1,2024-11-14,Desktop
435,6085,37,3346,5,2025-01-14,Tablet
436,6104,1,4652,6,2025-04-26,Mobile
437,6110,29,2011,1,2025-04-24,Tablet
438,6116,51,2349,6,2025-10-07,Desktop
439,6136,37,2617,5,2025-01-26,Tablet
440,6137,35,389,6,2025-06-04,Tablet
441,6172,34,800,3,2025-06-23,Mobile
442,6190,39,973,6,2024-12-04,Mobile
443,6191,22,5345,5,2024-10-21,Desktop
444,6214,35,3442,6,2025-05-26,Desktop
445,6227,9,134,2,2024-09-01,Mobile
446,6231,3,2102,4,2025-12-04,Tablet
447,6243,37,2478,5,2025-01-13,Tablet
448,6260,32,3046,3,2024-10-06,Mobile
449,6304,16,1406,6,2025-03-12,Mobile
450,6315,8,451,2,2025-07-24,Tablet
451,6330,25,2449,3,2024-12-19,Desktop
452,6342,13,452,4,2024-09-07,Tablet
453,6355,11,1642,3,2024-08-23,Mobile
454,6369,40,4400,5,2026-02-26,Tablet
455,6380,14,3776,2,2024-11-30,Desktop
456,6381,7,461,5,2026-05-27,Mobile
457,6389,40,2376,5,2026-03-05,Tablet
458,6401,44,4583,1,2024-12-01,Desktop
459,6404,34,1602,3,2025-06-12,Desktop
460,6426,23,1828,1,2026-01-18,Desktop
461,6432,38,2612,2,2025-11-21,Mobile
462,6450,29,968,1,2025-05-24,Mobile
463,6455,3,619,4,2025-12-08,Tablet
464,6489,24,474,6,2025-11-08,Desktop
465,6493,37,4190,5,2025-01-27,Mobile
466,6495,4,3885,1,2025-01-11,Desktop
467,6513,24,3358,6,2025-10-06,Mobile
468,6516,15,3313,6,2026-04-18,Desktop
469,6537,56,2406,5,2024-12-19,Desktop
470,6548,40,2486,5,2026-02-23,Mobile
471,6549,20,1415,6,2025-05-10,Tablet
472,6552,23,3164,1,2026-01-12,Mobile
473,6571,15,2764,6,2026-05-13,Tablet
474,6572,16,5928,6,2025-01-22,Tablet
475,6574,1,961,6,2025-04-14,Mobile
476,6580,49,2624,5,2025-09-24,Tablet
477,6587,25,3498,3,2024-12-31,Desktop
478,6605,41,4831,3,2026-01-28,Tablet
479,6616,24,4013,6,2025-11-12,Desktop
480,6635,23,1461,1,2025-12-29,Mobile
481,6655,9,3448,2,2024-09-09,Desktop
482,6683,3,1396,4,2025-12-03,Desktop
483,6711,25,5699,3,2024-12-11,Desktop
484,6731,60,1479,5,2025-04-12,Mobile
485,6750,5,1098,1,2024-11-01,Tablet
486,6768,33,2068,3,2026-03-21,Tablet
487,6782,41,4352,3,2026-01-28,Mobile
488,6791,48,5652,2,2026-01-31,Mobile
489,6843,38,3778,2,2025-11-23,Tablet
490,6883,5,5115,1,2024-11-09,Mobile
491,6884,36,543,5,2025-04-01,Desktop
492,6906,11,3408,3,2024-09-24,Tablet
493,6930,4,925,1,2024-12-08,Tablet
494,6967,3,5882,4,2025-12-11,Desktop
495,6982,7,2922,5,2026-05-16,Tablet
496,6984,9,4662,2,2024-08-26,Desktop
497,6985,29,4436,1,2025-05-24,Mobile
498,6996,54,1646,1,2025-09-18,Desktop
499,6997,18,3559,4,2025-04-01,Tablet
500,7019,2,1609,1,2024-11-25,Mobile
501,7021,35,112,6,2025-06-05,Desktop
502,7034,29,5778,1,2025-04-19,Desktop
503,7047,16,1459,6,2025-01-30,Desktop
504,7064,20,447,6,2025-04-21,Desktop
505,7068,49,1689,5,2025-09-03,Mobile
506,7087,55,3579,3,2025-07-25,Mobile
507,7143,44,4612,1,2024-12-31,Mobile
508,7164,52,2933,1,2025-03-16,Mobile
509,7206,17,4805,2,2024-12-29,Tablet
510,7252,55,225,3,2025-08-02,Mobile
511,7284,29,3020,1,2025-05-04,Tablet
512,7296,59,3218,5,2026-04-21,Desktop
513,7314,6,2047,5,2025-01-24,Tablet
514,7331,18,2543,4,2025-03-19,Desktop
515,7353,4,2415,1,2024-12-25,Desktop
516,7358,33,2853,3,2026-03-12,Tablet
517,7360,52,5745,1,2025-02-15,Mobile
518,7368,5,4458,1,2024-10-24,Desktop
519,7382,44,5920,1,2024-12-10,Mobile
520,7383,3,2217,4,2025-12-09,Mobile
521,7393,36,2927,5,2025-04-13,Mobile
522,7398,34,2150,3,2025-06-19,Mobile
523,7401,38,1249,2,2025-11-12,Tablet
524,7410,14,3793,2,2024-12-14,Tablet
525,7412,24,462,6,2025-10-09,Tablet
526,7413,49,3486,5,2025-10-20,Mobile
527,7431,14,5345,2,2024-12-15,Mobile
528,7463,60,1605,5,2025-04-15,Desktop
529,7475,53,157,3,2026-05-09,Mobile
530,7480,46,3731,4,2024-12-26,Tablet
531,7483,37,4868,5,2025-01-14,Tablet
532,7525,35,2945,6,2025-05-27,Desktop
533,7526,11,5700,3,2024-08-15,Mobile
534,7529,9,4880,2,2024-09-04,Desktop
535,7533,37,4665,5,2025-01-05,Tablet
536,7575,10,3731,1,2025-12-20,Desktop
537,7607,30,2783,6,2024-11-27,Tablet
538,7628,15,2666,6,2026-05-12,Tablet
539,7658,46,4043,4,2025-01-19,Tablet
540,7664,40,1977,5,2026-02-27,Tablet
541,7674,34,3863,3,2025-06-28,Desktop
542,7703,40,2546,5,2026-03-02,Mobile
543,7738,24,2877,6,2025-10-06,Mobile
544,7766,30,4454,6,2024-11-26,Mobile
545,7770,4,4574,1,2024-12-03,Tablet
546,7808,34,5796,3,2025-06-23,Desktop
547,7816,49,2630,5,2025-10-08,Tablet
548,7892,25,672,3,2024-11-24,Desktop
549,7909,10,1576,1,2025-12-22,Desktop
550,7919,39,121,6,2024-12-02,Desktop
551,7926,15,5020,6,2026-04-22,Desktop
552,7927,36,3279,5,2025-04-21,Tablet
553,7931,38,874,2,2025-11-18,Desktop
554,7935,60,4234,5,2025-04-26,Desktop
555,7942,16,4895,6,2025-03-12,Mobile
556,7946,55,498,3,2025-08-13,Tablet
557,7975,56,2961,5,2024-12-12,Mobile
558,7998,52,5807,1,2025-02-18,Mobile
559,8009,55,3192,3,2025-07-12,Tablet
560,8020,18,2249,4,2025-05-07,Desktop
561,8025,56,4739,5,2024-12-18,Desktop
562,8043,47,900,3,2024-10-01,Mobile
563,8044,42,3690,2,2025-01-05,Tablet
564,8052,59,561,5,2026-04-30,Mobile
565,8096,55,5225,3,2025-08-21,Mobile
566,8123,35,882,6,2025-05-18,Desktop
567,8141,9,387,2,2024-09-06,Desktop
568,8152,9,3591,2,2024-09-11,Mobile
569,8178,7,5872,5,2026-05-28,Tablet
570,8181,38,1126,2,2025-11-21,Tablet
571,8199,38,4472,2,2025-11-10,Desktop
572,8213,15,4688,6,2026-05-05,Tablet
573,8228,44,1423,1,2025-01-13,Mobile
574,8241,26,2911,3,2025-11-07,Desktop
575,8250,15,4414,6,2026-05-15,Desktop
576,8260,45,1925,4,2026-05-10,Tablet
577,8262,55,2076,3,2025-08-12,Desktop
578,8279,28,1800,6,2025-04-26,Mobile
579,8295,7,386,5,2026-06-05,Tablet
580,8299,16,5008,6,2025-01-20,Tablet
581,8318,26,863,3,2025-11-07,Mobile
582,8323,12,5511,1,2024-07-31,Tablet
583,8327,12,3552,1,2024-07-29,Desktop
584,8352,53,3214,3,2026-05-06,Tablet
585,8401,34,4060,3,2025-06-14,Tablet
586,8417,26,5589,3,2025-11-06,Mobile
587,8418,38,2494,2,2025-11-17,Tablet
